NameofPlayer,Club,Position,Nationality,FootPreference,JerseyNumber,YellowCardsReceived,RedCardsReceived,ContractStatus,InjuryStatus,League,CaptaincyStatus,TransferStatus,PerformanceRating,CompetitionType,Age,Height,Weight,NumberofGoals,NumberofAssists,NumberofAppearances,MinutesPlayed,PassCompletionPercentage,ShotsonTarget,NumberofFoulsCommitted,DribblesCompleted,CrossesCompleted,TacklesMade,Interceptions,Clearances
Gabriel Martinelli,Arsenal,Goalkeeper,German,Right,96,9,4,Expiring,Injured,On Loan,No,On Transfer List,Excellent,UEFA Champions League,24,164,90,47,18,215,16006,93.41,42,22,90,83,125,45,14
Giovani Lo Celso,Tottenham Hotspur,Midfielder,Spanish,Both,14,4,1,On Loan,Injured,EPL,No,On Transfer List,Good,UEFA Champions League,22,199,72,34,8,216,20210,57.84,67,61,15,8,79,49,28
Gabriel Martinelli,Chelsea,Goalkeeper,French,Left,25,11,1,Active,Suspended,EPL,No,Not On Transfer List,Poor,EPL,33,180,75,5,17,198,12191,60.43,3,90,88,30,51,51,66
Ederson,Chelsea,Midfielder,Brazilian,Both,92,11,0,Active,Injured,EPL,Yes,Not On Transfer List,Average,FA Cup,39,176,66,38,3,286,1915,66.56,87,22,43,39,55,36,47
Youri Tielemans,Tottenham Hotspur,Forward,English,Right,27,11,0,Expiring,Suspended,On Loan,No,Not On Transfer List,Good,UEFA Champions League,18,173,76,33,10,248,9272,76.76,12,8,62,12,49,22,37
Kevin De Bruyne,Liverpool,Forward,Brazilian,Both,98,9,0,On Loan,Fit,EPL,Yes,Not On Transfer List,Average,UEFA Champions League,27,182,87,37,11,249,18909,83.31,23,64,85,97,109,61,2
Lucas Moura,Liverpool,Goalkeeper,English,Left,19,7,1,Expiring,Fit,On Loan,Yes,On Transfer List,Poor,EPL,19,189,62,43,8,137,3262,57.83,75,18,86,74,8,39,16
Diogo Jota,Manchester City,Midfielder,Argentinian,Both,30,11,2,Expiring,Fit,EPL,No,On Transfer List,Average,EPL,39,199,77,41,14,150,5384,77.41,41,78,83,67,120,39,131
Pierre-Emerick Aubameyang,Manchester United,Midfielder,German,Both,41,0,1,Active,Suspended,On Loan,Yes,Not On Transfer List,Excellent,EPL,25,171,64,1,17,175,21990,81.11,82,89,33,38,104,94,6
Virgil van Dijk,Manchester City,Defender,German,Left,51,9,4,On Loan,Suspended,EPL,No,Not On Transfer List,Poor,FA Cup,35,188,68,16,18,111,17355,87.21,87,48,59,23,77,63,19
Paul Pogba,Manchester City,Forward,French,Both,56,11,1,On Loan,Injured,EPL,No,On Transfer List,Excellent,FA Cup,25,185,89,40,7,267,21289,89.12,63,47,27,28,39,79,132
Kevin De Bruyne,Liverpool,Goalkeeper,English,Right,36,4,1,Active,Suspended,On Loan,Yes,On Transfer List,Excellent,UEFA Champions League,36,197,83,41,7,178,24037,58.22,37,39,33,97,117,25,88
Granit Xhaka,Liverpool,Goalkeeper,Portuguese,Right,83,12,2,On Loan,Injured,EPL,No,Not On Transfer List,Excellent,EPL,18,196,88,11,9,92,25285,82.3,12,58,77,67,67,84,47
Ruben Dias,Liverpool,Goalkeeper,Portuguese,Left,58,3,4,On Loan,Suspended,On Loan,No,Not On Transfer List,Average,FA Cup,22,160,84,11,18,162,14445,69.97,86,33,44,35,29,16,28
Timo Werner,Liverpool,Defender,Portuguese,Left,20,14,2,Active,Fit,EPL,Yes,On Transfer List,Average,UEFA Champions League,24,184,80,28,2,252,20982,79.46,0,41,80,61,146,90,145
Diogo Jota,Tottenham Hotspur,Forward,German,Both,36,8,2,On Loan,Injured,On Loan,No,On Transfer List,Excellent,UEFA Champions League,19,199,80,42,6,218,26815,88.64,9,82,23,74,26,26,17
Kieran Tierney,Manchester United,Defender,Brazilian,Both,97,12,3,Expiring,Fit,On Loan,Yes,On Transfer List,Poor,EPL,27,164,96,16,9,171,4977,51.01,31,71,50,92,94,93,38
Wilfred Ndidi,Arsenal,Defender,Spanish,Both,2,5,2,Expiring,Suspended,EPL,Yes,Not On Transfer List,Poor,EPL,23,199,75,13,13,91,17082,91.96,98,98,53,19,91,28,53
Harry Maguire,Chelsea,Goalkeeper,Brazilian,Left,27,9,1,Active,Injured,EPL,No,On Transfer List,Excellent,UEFA Champions League,32,182,71,27,6,84,1076,93.08,65,8,81,64,62,60,50
Youri Tielemans,Arsenal,Defender,Argentinian,Right,55,14,4,Active,Injured,EPL,Yes,On Transfer List,Average,FA Cup,39,185,67,40,12,237,25293,73.76,2,48,55,19,126,52,90
Bukayo Saka,Manchester United,Midfielder,English,Right,58,8,3,Expiring,Fit,On Loan,No,On Transfer List,Excellent,UEFA Champions League,39,161,73,33,11,197,16378,60.94,79,10,92,52,46,6,57
Timo Werner,Liverpool,Midfielder,Portuguese,Right,21,12,2,On Loan,Suspended,On Loan,Yes,Not On Transfer List,Average,UEFA Champions League,23,181,74,13,5,74,3453,65.13,76,94,62,88,29,17,101
Kasper Schmeichel,Chelsea,Goalkeeper,English,Left,33,14,4,Active,Injured,On Loan,Yes,On Transfer List,Average,UEFA Champions League,31,163,77,24,3,213,13862,51.22,47,39,13,9,53,94,125
Ilkay Gundogan,Arsenal,Forward,English,Both,4,11,4,Expiring,Fit,On Loan,No,On Transfer List,Average,FA Cup,34,198,72,14,2,194,3009,99.5,18,58,57,97,11,81,55
Virgil van Dijk,Chelsea,Midfielder,Brazilian,Both,44,14,0,Expiring,Fit,EPL,No,On Transfer List,Good,UEFA Champions League,31,163,86,30,3,95,18906,74.65,8,78,70,13,14,55,118
Phil Foden,Manchester City,Goalkeeper,Argentinian,Left,35,7,0,Expiring,Injured,On Loan,Yes,Not On Transfer List,Poor,EPL,36,170,68,28,4,265,20824,99.64,14,47,85,60,3,35,135
David de Gea,Manchester United,Defender,Spanish,Both,29,5,0,Expiring,Suspended,On Loan,Yes,Not On Transfer List,Poor,FA Cup,34,166,67,32,15,37,7109,70.27,55,59,17,21,134,25,128
Romelu Lukaku,Tottenham Hotspur,Defender,German,Left,71,9,1,Active,Injured,On Loan,No,On Transfer List,Poor,EPL,27,169,94,29,14,184,19973,90.39,32,89,71,49,120,84,87
Jamie Vardy,Arsenal,Midfielder,French,Both,63,4,0,Active,Injured,On Loan,Yes,On Transfer List,Average,FA Cup,26,195,91,11,16,76,8220,55.27,62,2,17,75,7,37,120
Kieran Tierney,Tottenham Hotspur,Defender,Spanish,Right,1,13,3,Expiring,Suspended,On Loan,No,On Transfer List,Average,EPL,20,169,95,16,4,111,21917,61.55,10,25,13,34,37,70,87
